star_id,pl_id,hostname,pl_name,pl_letter,rv_flag,tran_flag,ttv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,disposition,reference,notes
18,0,Kepler-117,Kepler-117 b,b,0,1,1,18.7959228,0.0000075,-0.0000075,8.059257146,0.2690155375,-0.2690155375,29.87587022,10.48833742,-10.48833742,0,,,,confirmed,https://ui.adsabs.harvard.edu/abs/2015A%26A...573A.124B/abstract,
18,1,Kepler-117,Kepler-117 c,c,1,1,1,50.790391,0.000014,-0.000014,12.34108778,0.3923143256,-0.3923143256,584.8042681,57.20911319,-57.20911319,0,,,,confirmed,https://ui.adsabs.harvard.edu/abs/2015A%26A...573A.124B/abstract,
19,0,Kepler-148,Kepler-148 b,b,0,1,0,1.729367077,2.587E-06,-2.587E-06,1.82,0.15,-0.09,,,,,,,,validated,https://ui.adsabs.harvard.edu/abs/2018ApJS..235...38T/abstract,
19,1,Kepler-148,Kepler-148 c,c,0,1,0,4.180048081,2.741E-06,-2.741E-06,3.44,0.27,-0.17,,,,,,,,validated,https://ui.adsabs.harvard.edu/abs/2018ApJS..235...38T/abstract,
19,2,Kepler-148,Kepler-148 d,d,0,1,0,51.84688984,2.931E-05,-2.931E-05,8.73,0.7,-0.42,,,,,,,,validated,https://ui.adsabs.harvard.edu/abs/2018ApJS..235...38T/abstract,
20,0,TOI-201,TOI-201.02,02,,1,,5.849228687,0.000021568012,-0.000021568012,1.639442928,0.1419897,-0.1419897,37.5,,,1,,,,candidate,https://ui.adsabs.harvard.edu/abs/2021ApJS..254...39G/abstract;https://ui.adsabs.harvard.edu/abs/2021AJ....161..235H/abstract,TOI; mass upper limit from Hobson et al. (2021)
20,1,TOI-201,TOI-201 b,b,1,1,0,52.978,0.0004,-0.0004,11.29865258,0.1345077688,-0.168134711,133.4879308,15.89142033,-9.534852198,0,,,,confirmed,https://ui.adsabs.harvard.edu/abs/2021AJ....161..235H/abstract,
21,0,Kepler-30,Kepler-30 b,b,0,1,1,29.33434,0.00815,-0.00815,3.9,0.2,-0.2,11.3,1.4,-1.4,0,,,,confirmed,https://ui.adsabs.harvard.edu/abs/2012Natur.487..449S/abstract,
21,1,Kepler-30,Kepler-30 c,c,0,1,1,60.323105,0.000244,-0.000244,12.3,0.4,-0.4,640,50,-50,0,,,,confirmed,https://ui.adsabs.harvard.edu/abs/2012Natur.487..449S/abstract,
21,2,Kepler-30,Kepler-30 d,d,0,1,1,143.34394,0.00858,-0.00858,8.8,0.5,-0.5,23.1,2.7,-2.7,0,,,,confirmed,https://ui.adsabs.harvard.edu/abs/2012Natur.487..449S/abstract,
22,0,Kepler-418,Kepler-418 c,c,0,1,0,12.21826,1.00E-05,-1.00E-05,7.005612957,0.9303454007,-0.9303454007,203.4101802,,,1,,,,validated,https://ui.adsabs.harvard.edu/abs/2014A%26A...567A..14T/abstract,
22,1,Kepler-418,Kepler-418 b,b,0,1,0,86.67856,7.00E-05,-7.00E-05,13.45077688,1.793436917,-1.793436917,349.6112473,,,1,,,,confirmed,https://ui.adsabs.harvard.edu/abs/2014A%26A...567A..14T/abstract,Confirmed with multicolor photometry
