HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458678.45546,2019-07-13.9552587,bG,2.04,15.153,11.384,0.008,101.523,0.731,g
2458679.45692,2019-07-14.9567504,bl,1.61,15.284,11.421,0.009,98.025,0.820,g
2458679.45815,2019-07-14.9579741,bl,1.49,15.257,11.417,0.008,98.502,0.789,g
2458679.45936,2019-07-14.9591968,bl,1.52,15.282,11.402,0.008,99.857,0.770,g
2458680.46451,2019-07-15.9643815,bl,2.02,15.300,11.411,0.009,99.013,0.845,g
2458680.46574,2019-07-15.9656056,bl,2.03,15.276,11.403,0.009,99.758,0.878,g
2458680.46695,2019-07-15.9668283,bl,2.02,15.285,11.409,0.009,99.178,0.797,g
2458681.46114,2019-07-16.9610468,bl,1.53,15.292,11.382,0.008,101.684,0.763,g
2458681.46237,2019-07-16.9622777,bl,1.52,15.350,11.405,0.009,99.567,0.791,g
2458681.46359,2019-07-16.9634958,bl,1.54,15.327,11.396,0.009,100.427,0.776,g
2458682.45402,2019-07-17.9539645,bl,2.04,99.990,99.990,99.990,99.990,99.990,g
2458682.45525,2019-07-17.9551875,bl,1.79,99.990,99.990,99.990,99.990,99.990,g
2458682.45646,2019-07-17.9564078,bl,1.57,99.990,99.990,99.990,99.990,99.990,g
2458684.45463,2019-07-19.9546457,bH,2.02,14.739,11.410,0.011,99.130,1.041,g
2458684.45591,2019-07-19.9559141,bH,1.99,14.913,11.412,0.011,98.848,0.929,g
2458684.45718,2019-07-19.9571870,bH,2.00,14.994,11.422,0.011,98.028,0.974,g
2458690.21996,2019-07-25.7201743,bp,1.58,15.493,11.392,0.006,100.737,0.599,g
2458690.22127,2019-07-25.7214840,bp,1.56,99.990,99.990,99.990,99.990,99.990,g
2458690.22257,2019-07-25.7227817,bp,1.59,15.484,11.388,0.007,101.084,0.646,g
2458758.63815,2019-10-02.1401802,bo,1.67,14.333,11.301,0.018,109.574,1.827,g
2458764.62195,2019-10-08.1240368,bo,1.49,15.415,11.374,0.006,102.360,0.591,g
2458764.62318,2019-10-08.1252577,bo,1.40,15.393,11.357,0.006,104.003,0.589,g
2458766.88448,2019-10-10.3865686,bG,1.52,14.196,11.312,0.018,108.368,1.775,g
2458766.88575,2019-10-10.3878390,bG,1.45,13.800,11.436,0.029,96.745,2.573,g
2458766.88701,2019-10-10.3891065,bG,1.41,14.724,11.529,0.015,88.803,1.176,g
2458767.61268,2019-10-11.1147781,bo,1.47,15.325,11.384,0.007,101.492,0.631,g
2458767.61511,2019-10-11.1172107,bo,1.48,15.264,11.375,0.007,102.258,0.678,g
2458768.61175,2019-10-12.1138626,bo,1.36,15.056,11.378,0.008,102.101,0.818,g
2458770.60418,2019-10-14.1062854,bo,1.48,15.242,11.369,0.007,102.929,0.700,g
2458775.84782,2019-10-19.3499349,bG,1.46,15.254,11.372,0.007,102.563,0.666,g
2458775.84910,2019-10-19.3512189,bG,1.44,15.262,11.387,0.007,101.192,0.673,g
2458775.85037,2019-10-19.3524923,bG,1.48,15.280,11.398,0.007,100.157,0.684,g
2458776.87682,2019-10-20.3789375,bG,1.45,15.137,11.381,0.008,101.696,0.750,g
2458776.87808,2019-10-20.3802104,bG,1.38,15.042,11.383,0.010,101.585,0.851,g
2458776.87936,2019-10-20.3814849,bG,1.50,14.994,11.363,0.009,103.525,0.843,g
2458780.87717,2019-10-24.3792829,bG,1.62,99.990,99.990,99.990,99.990,99.990,g
2458783.59095,2019-10-27.0930638,bo,1.43,15.430,11.358,0.006,103.950,0.544,g
2458783.59347,2019-10-27.0955799,bo,1.45,15.440,11.375,0.006,102.342,0.605,g
2458785.87251,2019-10-29.3745968,bG,1.50,15.134,11.410,0.009,99.135,0.789,g
2458786.58735,2019-10-30.0894378,bo,1.60,15.425,11.369,0.006,102.955,0.557,g
2458786.58855,2019-10-30.0906381,bo,1.64,15.416,11.347,0.006,105.099,0.570,g
2458787.86585,2019-10-31.3679228,bG,1.40,14.908,11.434,0.011,96.914,0.949,g
2458787.86711,2019-10-31.3691856,bG,1.46,14.875,11.426,0.017,97.687,1.568,g
2458787.86838,2019-10-31.3704600,bG,1.43,14.616,11.473,0.014,93.486,1.197,g
2458788.59966,2019-11-01.1017347,bo,1.44,15.410,11.350,0.006,104.664,0.588,g
2458788.60209,2019-11-01.1041626,bo,1.49,15.391,11.348,0.006,104.925,0.584,g
2458789.85039,2019-11-02.3524571,bH,1.50,14.246,11.411,0.021,99.034,1.869,g
2458790.55244,2019-11-03.0544956,bo,1.62,99.990,99.990,99.990,99.990,99.990,g
2458791.54971,2019-11-04.0517600,bo,1.50,99.990,99.990,99.990,99.990,99.990,g
2458791.84186,2019-11-04.3438962,bH,1.53,15.465,11.386,0.006,101.279,0.607,g
2458791.84312,2019-11-04.3451665,bH,1.50,15.443,11.351,0.006,104.632,0.574,g
2458791.84439,2019-11-04.3464278,bH,1.46,15.463,11.410,0.006,99.118,0.603,g
2458794.79924,2019-11-07.3012517,bG,1.47,15.314,11.395,0.007,100.405,0.660,g
2458794.80050,2019-11-07.3025177,bG,1.52,15.351,11.423,0.007,97.859,0.637,g
2458794.80178,2019-11-07.3037848,bG,1.47,15.321,11.387,0.007,101.213,0.636,g
2458795.79570,2019-11-08.2976924,bG,1.43,15.278,11.385,0.008,101.368,0.711,g
2458795.79697,2019-11-08.2989680,bG,1.49,15.275,11.382,0.007,101.664,0.667,g
2458795.79823,2019-11-08.3002339,bG,1.47,15.297,11.391,0.007,100.793,0.667,g
2458796.82256,2019-11-09.3245454,bG,1.44,14.583,11.380,0.012,101.869,1.183,g
2458796.82383,2019-11-09.3258188,bG,1.38,15.042,11.447,0.010,95.703,0.877,g
2458796.82510,2019-11-09.3270914,bG,1.45,15.196,11.376,0.008,102.311,0.760,g
2458797.77256,2019-11-10.2745324,bG,1.50,15.128,11.408,0.008,99.312,0.729,g
2458798.78608,2019-11-11.2880310,bG,1.41,15.151,11.401,0.008,99.876,0.746,g
2458798.78734,2019-11-11.2892990,bG,1.47,15.134,11.405,0.009,99.542,0.780,g
2458798.78862,2019-11-11.2905743,bG,1.48,15.115,11.410,0.008,99.087,0.769,g
2458798.83571,2019-11-11.3376747,bH,1.41,15.356,11.382,0.007,101.695,0.655,g
2458798.83701,2019-11-11.3389603,bH,1.38,15.369,11.389,0.007,101.038,0.635,g
2458798.83827,2019-11-11.3402268,bH,1.42,15.327,11.324,0.007,107.222,0.682,g
2458799.78288,2019-11-12.2848173,bG,1.44,15.111,11.391,0.009,100.851,0.837,g
2458799.78415,2019-11-12.2860946,bG,1.45,15.167,11.389,0.008,100.958,0.726,g
2458799.78542,2019-11-12.2873570,bG,1.46,15.113,11.414,0.008,98.736,0.766,g
2458799.83642,2019-11-12.3383643,bH,1.37,15.271,11.319,0.007,107.755,0.720,g
2458799.83770,2019-11-12.3396429,bH,1.41,15.290,11.371,0.008,102.713,0.708,g
2458799.83898,2019-11-12.3409187,bH,1.45,15.300,11.396,0.007,100.405,0.662,g
2458800.77966,2019-11-13.2815929,bG,1.48,15.088,11.382,0.008,101.625,0.801,g
2458800.78093,2019-11-13.2828671,bG,1.51,15.097,11.418,0.009,98.361,0.816,g
2458800.78221,2019-11-13.2841443,bG,1.44,15.091,11.394,0.008,100.515,0.771,g
2458800.83697,2019-11-13.3388909,bH,1.44,15.283,11.371,0.007,102.671,0.682,g
2458800.83824,2019-11-13.3401711,bH,1.37,15.304,11.390,0.007,100.912,0.618,g
2458800.83952,2019-11-13.3414445,bH,1.42,15.260,11.353,0.008,104.386,0.723,g
2458803.84674,2019-11-16.3486157,bG,1.46,15.283,11.406,0.007,99.494,0.676,g
2458803.84802,2019-11-16.3498973,bG,1.51,15.252,11.378,0.007,102.091,0.684,g
2458804.84880,2019-11-17.3506557,bG,1.37,15.223,11.391,0.007,100.770,0.704,g
2458804.85007,2019-11-17.3519289,bG,1.47,15.239,11.390,0.007,100.960,0.706,g
2458804.85134,2019-11-17.3532055,bG,1.46,15.211,11.414,0.008,98.702,0.719,g
2458806.81665,2019-11-19.3184774,bl,1.44,15.364,11.387,0.008,101.220,0.673,g
2458806.81788,2019-11-19.3197016,bl,1.45,15.362,11.389,0.007,100.944,0.651,g
2458806.81910,2019-11-19.3209283,bl,1.42,15.373,11.395,0.008,100.433,0.670,g
2458806.84515,2019-11-19.3469844,bG,1.42,15.308,11.396,0.007,100.447,0.659,g
2458806.84643,2019-11-19.3482604,bG,1.43,15.298,11.406,0.007,99.522,0.688,g
2458806.84770,2019-11-19.3495274,bG,1.40,15.316,11.395,0.007,100.440,0.677,g
2458807.78465,2019-11-20.2864540,bG,1.44,15.263,11.393,0.007,100.669,0.652,g
2458807.78594,2019-11-20.2877482,bG,1.44,15.293,11.400,0.007,100.031,0.653,g
2458807.78720,2019-11-20.2890074,bG,1.36,15.269,11.401,0.007,99.855,0.656,g
2458807.85951,2019-11-20.3613192,bl,1.51,15.204,11.395,0.008,100.500,0.740,g
2458807.86075,2019-11-20.3625509,bl,1.46,15.210,11.399,0.009,100.055,0.765,g
2458807.86197,2019-11-20.3637769,bl,1.95,15.108,11.418,0.009,98.297,0.796,g
2458808.80898,2019-11-21.3107621,bG,1.41,15.300,11.402,0.007,99.859,0.665,g
2458808.81030,2019-11-21.3120835,bG,1.46,15.312,11.418,0.007,98.344,0.663,g
2458808.81155,2019-11-21.3133366,bG,1.44,15.289,11.396,0.008,100.379,0.696,g
2458808.85300,2019-11-21.3547960,bl,1.51,15.319,11.397,0.008,100.282,0.700,g
2458808.85423,2019-11-21.3560210,bl,1.48,15.302,11.379,0.008,101.951,0.701,g
2458808.85545,2019-11-21.3572365,bl,1.48,15.291,11.401,0.008,99.852,0.703,g
2458810.79032,2019-11-23.2920700,bG,1.45,15.329,11.395,0.007,100.491,0.660,g
2458810.79162,2019-11-23.2933628,bG,1.45,15.334,11.405,0.007,99.526,0.629,g
2458810.79289,2019-11-23.2946359,bG,1.49,15.326,11.383,0.007,101.614,0.658,g
2458810.83207,2019-11-23.3338229,bl,1.51,15.402,11.391,0.006,100.787,0.618,g
2458810.83330,2019-11-23.3350490,bl,1.44,15.401,11.383,0.006,101.626,0.600,g
2458810.83452,2019-11-23.3362671,bl,1.50,15.413,11.398,0.006,100.218,0.612,g
2458811.85865,2019-11-24.3603752,bl,1.47,15.305,11.395,0.007,100.453,0.678,g
2458811.85988,2019-11-24.3616059,bl,1.48,15.200,11.395,0.008,100.430,0.742,g
2458811.86110,2019-11-24.362825,bl,1.48,15.169,11.406,0.008,99.449,0.760,g
2458812.55655,2019-11-25.0582572,bp,1.46,15.449,11.388,0.006,101.087,0.564,g
2458812.55776,2019-11-25.0594685,bp,1.46,15.463,11.385,0.006,101.431,0.563,g
2458812.55898,2019-11-25.0606878,bp,1.51,15.456,11.380,0.006,101.798,0.567,g
2458812.73442,2019-11-25.2361290,bG,1.52,99.990,99.990,99.990,99.990,99.990,g
2458812.73572,2019-11-25.2374168,bG,1.43,99.990,99.990,99.990,99.990,99.990,g
2458812.73698,2019-11-25.2386797,bG,1.50,15.289,11.391,0.007,100.785,0.690,g
2458813.57171,2019-11-26.0733945,bp,1.54,15.510,11.390,0.006,100.899,0.543,g
2458813.57292,2019-11-26.0746023,bp,1.51,15.495,11.379,0.006,101.937,0.515,g
2458813.79678,2019-11-26.2984572,bH,1.42,15.434,11.395,0.006,100.465,0.588,g
2458813.79806,2019-11-26.2997395,bH,1.45,15.411,11.374,0.006,102.356,0.589,g
2458813.79934,2019-11-26.3010148,bH,1.46,15.440,11.386,0.006,101.342,0.603,g
2458813.82032,2019-11-26.3220049,bG,1.53,99.990,99.990,99.990,99.990,99.990,g
2458813.82160,2019-11-26.3232832,bG,1.45,15.346,11.425,0.007,97.741,0.647,g
2458813.82288,2019-11-26.3245538,bG,1.43,99.990,99.990,99.990,99.990,99.990,g
2458815.56963,2019-11-28.0712622,bp,1.54,15.472,11.366,0.006,103.184,0.567,g
2458815.57083,2019-11-28.0724743,bp,1.57,15.483,11.374,0.006,102.385,0.550,g
2458815.57206,2019-11-28.0736958,bp,1.62,15.477,11.397,0.006,100.277,0.540,g
2458815.85006,2019-11-28.3516900,bl,1.52,15.376,11.393,0.008,100.675,0.751,g
2458815.85128,2019-11-28.3529101,bl,1.47,15.359,11.381,0.008,101.733,0.692,g
2458815.85251,2019-11-28.3541372,bl,1.47,15.353,11.398,0.008,100.251,0.726,g
2458816.81823,2019-11-29.3198356,bG,1.43,15.351,11.410,0.007,99.039,0.649,g
2458816.81951,2019-11-29.3211130,bG,1.45,15.326,11.387,0.007,101.207,0.636,g
2458816.82078,2019-11-29.3223881,bG,1.45,15.354,11.405,0.007,99.541,0.629,g
2458816.82739,2019-11-29.3289996,bl,1.43,15.415,11.399,0.007,100.072,0.627,g
