HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457416.85322,2016-01-29.3527810,bg,1.44,15.052,11.024,0.007,149.467,0.950,V
2457431.78505,2016-02-13.2840906,bg,1.44,15.075,11.020,0.006,149.941,0.869,V
2457437.65730,2016-02-19.1561574,bh,1.39,15.112,11.030,0.006,148.636,0.887,V
2457437.65860,2016-02-19.1574479,bh,1.39,15.118,11.056,0.006,145.054,0.848,V
2457437.65990,2016-02-19.1587657,bh,1.38,15.101,11.030,0.006,148.467,0.832,V
2457439.59963,2016-02-21.0984168,bh,1.44,15.065,11.028,0.006,148.917,0.813,V
2457439.60090,2016-02-21.0996945,bh,1.38,15.076,11.027,0.006,149.000,0.850,V
2457439.60219,2016-02-21.1009850,bh,1.45,15.074,11.033,0.006,148.080,0.798,V
2457441.82916,2016-02-23.3278895,bg,1.42,14.840,11.022,0.007,149.567,1.014,V
2457441.83045,2016-02-23.3291732,bg,1.45,14.835,11.038,0.009,147.447,1.121,V
2457441.83174,2016-02-23.3304612,bg,1.41,14.719,10.963,0.012,157.986,1.769,V
2457442.82031,2016-02-24.3190114,bg,1.48,14.945,11.043,0.008,146.912,1.013,V
2457442.82161,2016-02-24.3203013,bg,1.54,14.928,11.024,0.008,149.394,1.082,V
2457446.59767,2016-02-28.0962607,bh,1.35,15.124,11.034,0.006,148.055,0.818,V
2457446.59896,2016-02-28.0975481,bh,1.45,15.127,11.038,0.006,147.551,0.772,V
2457446.60025,2016-02-28.0988358,bh,1.38,15.133,11.038,0.006,147.549,0.791,V
2457446.81083,2016-02-28.3094089,bg,1.53,15.034,11.012,0.006,151.036,0.872,V
2457447.80227,2016-02-29.3008266,bh,1.37,15.092,11.029,0.006,148.629,0.844,V
2457447.80356,2016-02-29.3021138,bh,1.32,15.090,11.033,0.006,148.217,0.885,V
2457447.80484,2016-02-29.3033980,bh,1.36,15.097,11.033,0.006,148.154,0.842,V
2457447.80616,2016-02-29.3047090,bg,1.39,15.032,11.022,0.006,149.735,0.877,V
2457447.80743,2016-02-29.3059887,bg,1.38,15.056,11.041,0.007,147.052,0.970,V
2457447.80871,2016-02-29.3072657,bg,1.45,15.041,11.033,0.007,148.231,0.933,V
2457448.62787,2016-03-01.1264013,bh,1.42,15.131,11.024,0.006,149.378,0.811,V
2457448.62917,2016-03-01.1277006,bh,1.38,15.131,11.037,0.006,147.709,0.835,V
2457448.63047,2016-03-01.1290019,bh,1.39,15.127,11.029,0.006,148.712,0.767,V
2457448.71935,2016-03-01.2178762,bg,1.38,15.091,11.033,0.007,148.085,0.934,V
2457448.72062,2016-03-01.2191495,bg,1.43,15.109,11.042,0.007,146.854,0.942,V
2457451.66162,2016-03-04.1600770,bg,2.04,15.042,11.022,0.007,149.589,0.995,V
2457453.80553,2016-03-06.3039248,bh,1.40,15.099,11.028,0.006,148.877,0.883,V
2457453.80681,2016-03-06.3052140,bh,1.37,15.097,11.030,0.006,148.505,0.872,V
2457453.80811,2016-03-06.3065125,bh,1.39,15.116,11.066,0.006,143.710,0.841,V
2457456.54299,2016-03-09.0413214,bh,1.39,15.106,11.027,0.006,149.072,0.863,V
2457456.54430,2016-03-09.0426331,bh,1.35,15.107,11.042,0.006,146.965,0.862,V
2457456.54558,2016-03-09.0439165,bh,1.39,15.102,11.032,0.006,148.204,0.843,V
2457457.50534,2016-03-10.0036531,bg,1.46,15.020,11.015,0.007,150.663,0.966,V
2457461.75269,2016-03-14.2509092,bh,1.35,15.096,11.050,0.006,145.785,0.851,V
2457461.75397,2016-03-14.2521942,bh,1.36,15.093,11.035,0.007,147.976,0.931,V
2457461.75525,2016-03-14.2534729,bh,1.35,15.080,11.038,0.006,147.475,0.786,V
2457463.56107,2016-03-16.0592542,bh,1.55,15.090,11.036,0.006,147.765,0.877,V
2457463.56236,2016-03-16.0605457,bh,1.63,15.090,11.033,0.006,148.063,0.905,V
2457463.56366,2016-03-16.0618443,bh,1.69,15.085,11.040,0.006,147.202,0.811,V
2457464.59320,2016-03-17.0913662,bh,1.44,14.871,11.023,0.007,149.469,0.981,V
2457464.59449,2016-03-17.0926570,bh,1.48,14.823,11.035,0.008,147.831,0.992,V
2457464.59579,2016-03-17.0939518,bh,1.48,14.835,11.028,0.008,148.754,1.053,V
2457465.75615,2016-03-18.2542906,bh,1.49,15.105,11.060,0.006,144.429,0.867,V
2457465.75743,2016-03-18.2555789,bh,1.44,15.108,11.062,0.007,144.189,0.945,V
2457465.75872,2016-03-18.2568641,bh,1.38,15.104,11.048,0.006,146.103,0.834,V
2457466.73092,2016-03-19.2290521,bg,1.44,99.990,99.990,99.990,99.990,99.990,V
2457466.73188,2016-03-19.2300059,bg,1.43,99.990,99.990,99.990,99.990,99.990,V
2457466.73281,2016-03-19.2309422,bg,1.46,99.990,99.990,99.990,99.990,99.990,V
2457466.78064,2016-03-19.2787699,bh,1.40,14.463,11.027,0.011,148.874,1.475,V
2457466.78160,2016-03-19.2797252,bh,1.35,14.327,11.100,0.014,139.295,1.825,V
2457466.78254,2016-03-19.2806701,bh,1.32,14.348,11.024,0.012,149.404,1.620,V
2457468.62008,2016-03-21.1181737,bg,1.58,14.985,11.059,0.007,144.704,0.952,V
2457468.62137,2016-03-21.1194631,bg,1.58,14.977,11.027,0.007,148.918,0.931,V
2457468.62267,2016-03-21.1207631,bg,1.52,14.978,11.029,0.007,148.743,0.935,V
2457470.70417,2016-03-23.2022290,bg,1.50,14.878,11.052,0.008,145.599,1.115,V
2457470.70552,2016-03-23.2035844,bg,1.55,14.914,11.031,0.008,148.410,1.137,V
2457470.70681,2016-03-23.2048718,bg,1.54,14.898,11.019,0.007,149.999,0.981,V
2457471.53042,2016-03-24.0284733,bg,1.57,14.921,11.034,0.008,147.957,1.116,V
2457471.53173,2016-03-24.0297813,bg,1.67,14.924,11.031,0.008,148.528,1.126,V
2457471.53302,2016-03-24.0310729,bg,1.62,14.893,11.024,0.007,149.462,0.972,V
2457473.74923,2016-03-26.2472451,bh,1.38,15.027,11.033,0.007,148.182,1.037,V
2457473.75053,2016-03-26.2485454,bh,1.39,15.014,11.027,0.007,149.023,0.911,V
2457473.75181,2016-03-26.2498329,bh,1.38,15.048,11.049,0.006,145.969,0.879,V
2457475.58218,2016-03-28.0801684,bg,1.50,15.017,11.045,0.008,146.514,1.000,V
2457475.58346,2016-03-28.0814552,bg,1.57,15.007,11.031,0.007,148.417,0.896,V
2457475.58477,2016-03-28.0827594,bg,1.56,15.022,11.058,0.008,144.789,1.030,V
2457476.77065,2016-03-29.2686276,bh,1.44,15.060,11.037,0.006,147.623,0.853,V
2457476.77194,2016-03-29.2699262,bh,1.40,15.059,11.025,0.006,149.267,0.856,V
2457476.77323,2016-03-29.2712113,bh,1.35,15.044,11.030,0.006,148.528,0.879,V
2457477.59728,2016-03-30.0952512,bh,1.41,15.129,11.045,0.006,146.511,0.769,V
2457477.59857,2016-03-30.0965394,bh,1.47,15.132,11.054,0.007,145.282,0.905,V
2457477.59988,2016-03-30.0978589,bh,1.44,15.120,11.036,0.006,147.804,0.831,V
2457478.71292,2016-03-31.2108819,bg,1.57,15.008,11.064,0.007,144.070,0.943,V
2457478.71421,2016-03-31.2121740,bg,1.49,14.956,11.014,0.007,150.733,1.005,V
2457478.71551,2016-03-31.2134723,bg,1.53,15.001,11.072,0.008,142.916,1.017,V
2457480.71761,2016-04-02.2155435,bg,1.52,99.990,99.990,99.990,99.990,99.990,V
2457480.71889,2016-04-02.2168324,bg,1.48,15.020,11.052,0.007,145.652,0.939,V
2457480.72019,2016-04-02.2181326,bg,1.49,15.028,11.042,0.008,146.934,0.969,V
2457481.61767,2016-04-03.1155947,bh,1.37,15.125,11.042,0.006,146.926,0.850,V
2457481.61903,2016-04-03.1169646,bh,1.35,15.131,11.051,0.006,145.801,0.808,V
2457481.62031,2016-04-03.1182420,bh,1.46,15.122,11.032,0.006,148.337,0.861,V
2457485.70178,2016-04-07.1996758,bg,1.36,15.018,11.017,0.006,150.429,0.862,V
2457485.70308,2016-04-07.2009773,bg,1.39,15.035,11.059,0.008,144.674,0.982,V
2457485.70436,2016-04-07.2022637,bg,1.41,15.019,11.048,0.008,146.213,0.973,V
2457486.61378,2016-04-08.1116687,bh,1.44,15.113,11.033,0.006,148.110,0.830,V
2457486.61507,2016-04-08.1129592,bh,1.49,15.118,11.034,0.006,148.037,0.817,V
2457486.61636,2016-04-08.1142501,bh,1.48,15.123,11.048,0.006,146.052,0.760,V
2457522.55500,2016-05-14.0530853,bh,1.70,14.041,11.048,0.017,146.073,2.274,V
2457522.55630,2016-05-14.0543868,bh,1.58,14.256,11.034,0.012,148.022,1.693,V
2457522.55761,2016-05-14.0556986,bh,1.60,14.096,11.054,0.015,145.390,2.014,V
2457522.59996,2016-05-14.0980467,bg,2.16,13.597,11.051,0.030,145.793,3.965,V
2457522.60125,2016-05-14.0993368,bg,1.96,99.990,99.990,99.990,99.990,99.990,V
2457522.60255,2016-05-14.1006356,bg,2.16,13.584,11.025,0.023,149.248,3.138,V
2457523.50434,2016-05-15.0024431,bg,1.47,14.754,11.024,0.009,149.386,1.284,V
2457523.50564,2016-05-15.0037384,bg,1.55,14.935,11.042,0.008,146.908,1.065,V
2457526.59047,2016-05-18.0886237,bg,1.41,14.992,11.067,0.008,143.480,1.068,V
2457526.59177,2016-05-18.0899241,bg,1.44,14.983,11.036,0.008,147.822,1.113,V
2457526.59307,2016-05-18.0912269,bg,1.44,14.954,11.045,0.008,146.516,1.088,V
2457526.62215,2016-05-18.1203057,bh,1.50,14.479,11.038,0.011,147.585,1.459,V
2457526.62345,2016-05-18.1216065,bh,1.38,14.813,11.019,0.008,149.995,1.054,V
2457526.62475,2016-05-18.1229038,bh,1.36,14.770,11.030,0.008,148.491,1.135,V
2457530.47419,2016-05-21.9724153,bh,1.99,15.021,11.033,0.007,148.142,0.881,V
2457530.47549,2016-05-21.9737171,bh,2.03,15.009,11.046,0.007,146.427,0.919,V
2457530.47679,2016-05-21.9750165,bh,2.00,15.011,11.040,0.007,147.281,0.960,V
2457530.56732,2016-05-22.0655497,bg,1.51,14.918,11.042,0.009,146.977,1.165,V
2457530.56880,2016-05-22.0670263,bg,1.68,14.976,11.043,0.008,146.809,1.014,V
2457530.57009,2016-05-22.0683256,bg,1.47,14.914,11.061,0.009,144.284,1.174,V
2457536.57073,2016-05-28.0690929,bg,1.50,99.990,99.990,99.990,99.990,99.990,V
2457536.57202,2016-05-28.0703800,bg,1.48,99.990,99.990,99.990,99.990,99.990,V
2457536.57334,2016-05-28.0717081,bg,1.53,15.037,11.052,0.007,145.598,0.907,V
2457546.57052,2016-06-07.0691383,bh,1.41,15.104,11.031,0.006,148.352,0.848,V
2457546.57182,2016-06-07.0704384,bh,1.46,15.095,11.033,0.006,148.125,0.866,V
2457546.57310,2016-06-07.0717200,bh,1.36,15.095,11.025,0.006,149.313,0.842,V
2457548.53056,2016-06-09.0292260,bh,1.55,15.084,11.026,0.006,149.054,0.806,V
2457548.53185,2016-06-09.0305246,bh,1.51,15.099,11.047,0.006,146.292,0.847,V
2457548.53321,2016-06-09.0318827,bh,1.56,15.088,11.031,0.006,148.473,0.829,V
2457554.48686,2016-06-14.9857005,bg,1.45,13.864,11.060,0.018,144.432,2.352,V
2457554.48815,2016-06-14.9870010,bg,1.55,13.837,11.065,0.023,143.920,3.085,V
2457554.48949,2016-06-14.9883386,bg,1.60,14.219,11.052,0.014,145.644,1.785,V
2457555.48280,2016-06-15.9816688,bg,1.50,14.921,11.031,0.008,148.427,1.116,V
2457555.48408,2016-06-15.9829557,bg,1.54,14.926,11.040,0.008,147.190,1.064,V
2457555.48537,2016-06-15.9842429,bg,1.47,14.935,11.035,0.007,147.851,0.982,V
2457558.49506,2016-06-18.9940298,bg,1.49,14.949,11.076,0.008,142.452,1.096,V
2457558.49635,2016-06-18.9953170,bg,1.44,14.994,11.062,0.008,144.190,1.018,V
2457558.49764,2016-06-18.9966037,bg,1.45,14.912,11.027,0.008,148.915,1.080,V
2457558.53826,2016-06-19.0372247,bh,1.40,14.817,11.072,0.009,142.886,1.154,V
2457558.53954,2016-06-19.0385151,bh,1.39,14.840,11.013,0.008,150.894,1.139,V
2457558.54085,2016-06-19.0398135,bh,1.36,14.881,11.042,0.008,146.973,1.097,V
2457559.52047,2016-06-20.0194746,bh,1.40,14.714,11.063,0.009,144.093,1.178,V
2457559.52177,2016-06-20.0207723,bh,1.35,14.809,11.006,0.009,151.922,1.152,V
2457559.52305,2016-06-20.0220481,bh,1.35,14.809,11.047,0.010,146.247,1.336,V
2457560.48359,2016-06-20.9826170,bg,1.52,14.940,11.031,0.008,148.466,1.018,V
2457560.48490,2016-06-20.9839357,bg,1.51,14.952,11.061,0.008,144.496,1.032,V
2457560.48619,2016-06-20.9852254,bg,1.53,14.957,11.028,0.007,148.867,1.008,V
2457560.54662,2016-06-21.0456549,bh,1.38,15.012,11.041,0.007,147.015,0.924,V
2457560.54792,2016-06-21.0469506,bh,1.41,15.021,11.022,0.006,149.715,0.912,V
2457560.54920,2016-06-21.0482312,bh,1.43,15.024,11.036,0.008,147.699,1.019,V
2457562.45621,2016-06-22.9553082,bg,2.20,14.997,11.039,0.008,147.296,1.005,V
2457562.45750,2016-06-22.9565946,bg,2.15,14.990,11.019,0.007,150.069,0.962,V
2457562.45877,2016-06-22.9578693,bg,2.16,14.993,11.026,0.008,149.110,1.003,V
2457562.52301,2016-06-23.0221055,bh,1.57,15.049,11.036,0.006,147.791,0.901,V
2457562.52432,2016-06-23.0234103,bh,1.58,15.022,11.017,0.006,150.395,0.906,V
2457562.52560,2016-06-23.0247039,bh,1.61,15.011,11.043,0.007,146.732,0.917,V
2457567.51979,2016-06-28.0190532,bh,1.50,15.061,11.042,0.006,146.970,0.844,V
2457567.52109,2016-06-28.0203513,bh,1.52,15.054,11.042,0.006,146.987,0.826,V
2457567.52239,2016-06-28.02165,bh,1.49,15.065,11.047,0.006,146.295,0.842,V
2457568.46142,2016-06-28.9607197,bg,2.11,15.003,11.022,0.007,149.620,0.944,V
2457568.46270,2016-06-28.9619974,bg,2.09,14.990,11.025,0.008,149.224,0.996,V
2457568.46398,2016-06-28.9632741,bg,2.09,14.990,11.017,0.007,150.480,0.899,V
2457569.51844,2016-06-30.0177737,bh,1.68,15.055,11.040,0.006,147.165,0.875,V
2457569.51974,2016-06-30.0190695,bh,1.68,15.061,11.045,0.006,146.594,0.856,V
2457569.52102,2016-06-30.0203489,bh,1.70,15.067,11.053,0.006,145.431,0.882,V
2457579.45972,2016-07-09.9593979,bh,1.41,14.353,11.000,0.012,152.686,1.624,V
2457579.46101,2016-07-09.9606854,bh,1.38,14.782,11.062,0.008,144.264,1.096,V
2457579.46228,2016-07-09.9619619,bh,1.46,14.919,11.031,0.007,148.491,0.985,V
2457586.46179,2016-07-16.9617216,bh,2.11,99.990,99.990,99.990,99.990,99.990,V
2457586.46308,2016-07-16.9630119,bh,2.10,99.990,99.990,99.990,99.990,99.990,V
2457586.46438,2016-07-16.9643096,bh,2.03,99.990,99.990,99.990,99.990,99.990,V
2457652.89996,2016-09-21.4018526,bg,1.45,14.906,11.044,0.008,146.581,1.118,V
2457652.90125,2016-09-21.4031402,bg,1.50,14.899,11.020,0.007,149.934,0.935,V
2457652.90254,2016-09-21.4044305,bg,1.54,14.870,11.064,0.008,144.002,1.025,V
2457659.89827,2016-09-28.4002576,bg,1.53,14.776,11.039,0.009,147.315,1.194,V
2457659.89955,2016-09-28.4015401,bg,1.57,14.761,11.043,0.009,146.832,1.246,V
2457660.89736,2016-09-29.3993659,bg,1.58,14.726,11.043,0.009,146.740,1.219,V
2457660.89865,2016-09-29.4006525,bg,1.51,14.786,11.058,0.009,144.813,1.247,V
2457661.89136,2016-09-30.3933778,bg,1.53,14.917,11.049,0.008,145.992,1.129,V
2457661.89265,2016-09-30.3946678,bg,1.48,14.954,11.042,0.008,146.814,1.072,V
2457661.89394,2016-09-30.3959565,bg,1.61,14.878,11.062,0.007,144.209,1.042,V
2457662.87401,2016-10-01.3760312,bg,1.42,15.002,11.058,0.008,144.661,1.016,V
2457662.87529,2016-10-01.3773195,bg,1.43,15.002,11.058,0.008,144.870,1.015,V
2457662.87660,2016-10-01.3786324,bg,1.44,14.948,11.054,0.008,145.367,1.082,V
2457666.86402,2016-10-05.3660855,bg,1.47,14.974,11.042,0.007,146.898,0.947,V
2457666.86531,2016-10-05.3673732,bg,1.47,14.981,11.047,0.008,146.284,0.995,V
2457666.86660,2016-10-05.3686648,bg,1.42,14.999,11.069,0.008,143.251,1.015,V
2457680.86036,2016-10-19.3624822,bg,2.49,14.837,11.023,0.009,149.514,1.239,V
2457681.87182,2016-10-20.3739358,bh,1.51,15.044,11.032,0.006,148.348,0.838,V
2457681.87310,2016-10-20.3752226,bh,1.57,15.054,11.047,0.006,146.214,0.842,V
2457681.87440,2016-10-20.3765222,bh,1.53,15.020,11.038,0.007,147.434,0.870,V
2457683.83121,2016-10-22.3333283,bg,1.58,14.954,11.063,0.008,144.178,1.033,V
2457683.83251,2016-10-22.3346274,bg,1.54,14.980,11.058,0.008,144.659,1.026,V
2457683.83381,2016-10-22.3359243,bg,1.59,14.981,11.081,0.008,141.725,1.059,V
2457687.82141,2016-10-26.3235118,bg,1.41,15.005,11.040,0.008,147.169,1.011,V
2457687.82271,2016-10-26.3248108,bg,1.42,14.995,11.061,0.007,144.431,0.884,V
2457687.82398,2016-10-26.3260868,bg,1.46,15.008,11.041,0.008,147.099,1.017,V
2457687.87121,2016-10-26.3733114,bh,1.33,15.056,11.037,0.007,147.669,0.934,V
2457687.87250,2016-10-26.3746010,bh,1.34,15.036,11.026,0.006,149.047,0.906,V
2457689.86435,2016-10-28.3664366,bh,1.42,15.058,11.024,0.006,149.454,0.823,V
2457689.86563,2016-10-28.3677201,bh,1.52,15.072,11.041,0.006,147.117,0.899,V
2457689.86692,2016-10-28.3690091,bh,1.45,15.043,11.026,0.006,149.124,0.874,V
2457690.81161,2016-10-29.3136925,bg,1.44,14.971,11.058,0.008,144.860,1.050,V
2457690.81289,2016-10-29.3149774,bg,1.50,14.977,11.034,0.008,147.965,1.016,V
2457690.81418,2016-10-29.3162651,bg,1.40,14.985,11.065,0.008,143.894,1.043,V
2457690.86132,2016-10-29.3634060,bh,1.37,15.088,11.054,0.006,145.296,0.863,V
2457690.86259,2016-10-29.3646718,bh,1.34,15.076,11.032,0.006,148.189,0.847,V
2457690.86387,2016-10-29.3659579,bh,1.31,15.073,11.046,0.006,146.352,0.846,V
2457691.86166,2016-10-30.3637410,bh,1.35,15.075,11.047,0.006,146.245,0.856,V
2457691.86296,2016-10-30.3650315,bh,1.39,15.070,11.026,0.006,149.004,0.876,V
2457691.86424,2016-10-30.3663195,bh,1.38,15.079,11.065,0.007,143.859,0.935,V
2457693.84126,2016-11-01.3433167,bh,1.55,15.113,11.057,0.006,145.005,0.838,V
2457693.84255,2016-11-01.3446072,bh,1.52,15.118,11.069,0.006,143.335,0.813,V
2457693.84383,2016-11-01.3458912,bh,1.50,15.103,11.044,0.006,146.625,0.806,V
2457695.81476,2016-11-03.3167974,bg,1.49,15.003,11.030,0.007,148.435,0.935,V
2457695.81605,2016-11-03.3180913,bg,1.46,14.988,11.049,0.007,145.940,0.904,V
2457695.81734,2016-11-03.3193892,bg,1.45,14.994,11.039,0.008,147.295,0.998,V
2457698.79879,2016-11-06.3007980,bg,1.47,14.972,11.064,0.008,143.973,0.999,V
2457698.80007,2016-11-06.3020778,bg,1.44,14.990,11.041,0.007,147.071,0.884,V
2457698.80136,2016-11-06.3033688,bg,1.45,14.985,11.063,0.008,144.059,1.057,V
2457701.82280,2016-11-09.3247762,bg,1.45,15.010,11.042,0.007,146.902,0.873,V
2457701.82409,2016-11-09.3260644,bg,1.41,14.997,11.052,0.007,145.546,0.960,V
2457701.82541,2016-11-09.3273827,bg,1.46,15.014,11.060,0.008,144.461,0.975,V
2457702.83135,2016-11-10.3333072,bh,1.44,15.098,11.035,0.006,147.955,0.824,V
2457702.83262,2016-11-10.3345791,bh,1.41,15.091,11.033,0.006,148.147,0.818,V
2457702.83392,2016-11-10.3358799,bh,1.39,15.092,11.036,0.006,147.781,0.825,V
2457704.79021,2016-11-12.2921437,bg,1.41,14.610,11.077,0.010,142.217,1.331,V
2457704.79152,2016-11-12.2934453,bg,1.45,14.655,11.083,0.009,141.432,1.235,V
2457704.79280,2016-11-12.2947273,bg,1.46,14.695,11.041,0.009,147.007,1.208,V
2457706.77709,2016-11-14.2789868,bg,1.49,14.848,11.058,0.009,144.860,1.157,V
2457706.77839,2016-11-14.2802851,bg,1.57,14.857,11.038,0.008,147.494,1.133,V
2457706.77968,2016-11-14.2815857,bg,1.55,14.798,11.032,0.009,148.293,1.192,V
2457706.81836,2016-11-14.3202594,bh,1.36,15.015,11.073,0.007,142.819,0.931,V
2457706.81967,2016-11-14.3215637,bh,1.38,14.986,11.035,0.007,147.840,0.919,V
2457706.82096,2016-11-14.3228618,bh,1.42,14.984,11.046,0.007,146.375,0.914,V
2457709.76070,2016-11-17.2625438,bg,1.47,14.905,11.059,0.007,144.617,0.964,V
2457709.76200,2016-11-17.2638421,bg,1.54,14.899,11.043,0.008,146.902,1.071,V
2457709.76329,2016-11-17.2651390,bg,1.49,14.914,11.065,0.008,143.800,1.049,V
2457710.81127,2016-11-18.3131050,bh,1.37,15.072,11.048,0.006,146.206,0.832,V
2457711.78805,2016-11-19.2898622,bg,1.51,14.852,11.034,0.007,148.083,1.004,V
2457711.78934,2016-11-19.2911487,bg,1.48,14.874,11.034,0.008,148.106,1.118,V
2457711.79063,2016-11-19.2924388,bg,1.50,14.702,11.049,0.009,145.955,1.182,V
2457711.84177,2016-11-19.3435765,bh,1.38,15.027,11.029,0.006,148.759,0.927,V
2457711.84305,2016-11-19.3448598,bh,1.37,14.915,11.061,0.008,144.290,1.094,V
2457711.84434,2016-11-19.3461488,bh,1.44,14.909,11.043,0.008,146.723,1.081,V
2457713.80125,2016-11-21.3030193,bh,1.51,15.078,11.043,0.006,146.799,0.853,V
2457713.80254,2016-11-21.3043070,bh,1.51,15.076,11.030,0.006,148.615,0.825,V
2457713.80382,2016-11-21.3055958,bh,1.50,15.072,11.025,0.006,149.251,0.860,V
2457713.81934,2016-11-21.3211131,bg,1.70,14.991,11.056,0.008,145.027,1.024,V
2457713.82062,2016-11-21.3223883,bg,1.67,14.950,11.027,0.007,148.990,0.894,V
2457713.82190,2016-11-21.3236762,bg,1.60,99.990,99.990,99.990,99.990,99.990,V
2457716.74995,2016-11-24.2516554,bg,1.75,99.990,99.990,99.990,99.990,99.990,V
2457716.75125,2016-11-24.2529585,bg,1.77,99.990,99.990,99.990,99.990,99.990,V
2457716.75254,2016-11-24.2542446,bg,1.67,99.990,99.990,99.990,99.990,99.990,V
2457719.78182,2016-11-27.2834560,bh,1.39,15.101,11.051,0.006,145.740,0.824,V
2457719.78313,2016-11-27.2847655,bh,1.34,15.115,11.073,0.006,142.836,0.812,V
2457719.78447,2016-11-27.2861120,bh,1.38,15.089,11.015,0.006,150.601,0.822,V
2457720.73444,2016-11-28.2360506,bg,1.42,14.990,11.052,0.008,145.576,1.008,V
2457721.72801,2016-11-29.2295995,bg,1.46,14.972,11.037,0.007,147.508,0.974,V
2457721.72931,2016-11-29.2309039,bg,1.42,14.974,11.039,0.007,147.288,0.867,V
2457721.73062,2016-11-29.2322155,bg,1.41,14.992,11.038,0.008,147.386,1.035,V
2457722.77753,2016-11-30.2790920,bh,1.35,15.093,11.055,0.006,145.107,0.814,V
2457723.80030,2016-12-01.3018368,bg,1.49,15.003,11.040,0.007,147.195,0.957,V
2457723.80158,2016-12-01.3031261,bg,1.41,15.007,11.047,0.008,146.177,0.974,V
2457723.80288,2016-12-01.3044241,bg,1.44,15.005,11.075,0.008,142.538,0.983,V
2457724.77095,2016-12-02.2724690,bh,1.45,15.066,11.014,0.006,150.678,0.847,V
2457724.77223,2016-12-02.27375,bh,1.43,15.080,11.024,0.006,149.472,0.823,V
2457724.77352,2016-12-02.2750349,bh,1.42,15.076,11.018,0.006,150.303,0.833,V
2457727.71169,2016-12-05.2131274,bg,1.51,14.986,11.044,0.008,146.690,1.035,V
2457727.71299,2016-12-05.2144237,bg,1.39,14.985,11.031,0.008,148.430,1.015,V
2457727.71429,2016-12-05.2157217,bg,1.48,14.972,11.041,0.008,147.104,1.038,V
2457727.76116,2016-12-05.2625951,bh,1.43,15.103,11.066,0.006,143.709,0.869,V
2457727.76245,2016-12-05.2638883,bh,1.53,15.079,11.026,0.006,149.119,0.889,V
2457727.76374,2016-12-05.2651736,bh,1.43,15.089,11.032,0.006,148.242,0.844,V
2457730.70171,2016-12-08.2030629,bg,1.51,14.946,11.043,0.007,146.787,1.000,V
2457730.70298,2016-12-08.2043378,bg,1.50,14.931,11.033,0.007,148.193,1.022,V
2457730.70427,2016-12-08.2056261,bg,1.52,14.962,11.050,0.008,145.829,1.041,V
2457730.75900,2016-12-08.2603487,bh,1.53,15.072,11.027,0.006,148.926,0.816,V
2457730.76030,2016-12-08.2616511,bh,1.56,15.083,11.055,0.006,145.186,0.836,V
2457730.76158,2016-12-08.2629362,bh,1.52,15.072,11.038,0.006,147.362,0.789,V
2457732.83182,2016-12-10.3331138,bg,1.47,15.037,11.082,0.007,141.584,0.945,V
2457732.83311,2016-12-10.3343989,bg,1.48,15.025,11.064,0.007,143.966,0.950,V
2457732.83441,2016-12-10.3357015,bg,1.46,99.990,99.990,99.990,99.990,99.990,V
2457737.76371,2016-12-15.2648497,bh,1.56,14.933,11.041,0.008,147.168,1.034,V
2457737.76500,2016-12-15.2661418,bh,1.53,14.927,11.016,0.007,150.523,0.995,V
2457737.76628,2016-12-15.2674271,bh,1.52,14.934,11.031,0.008,148.445,1.097,V
2457738.79327,2016-12-16.2943736,bg,1.45,14.876,11.041,0.008,147.086,1.138,V
2457738.79457,2016-12-16.2956774,bg,1.49,14.924,11.074,0.008,142.650,1.068,V
2457738.79586,2016-12-16.2969736,bg,1.46,14.923,11.024,0.009,149.395,1.241,V
2457740.84768,2016-12-18.3487188,bh,1.40,15.079,11.045,0.006,146.621,0.873,V
2457740.84896,2016-12-18.3500024,bh,1.33,15.072,11.038,0.006,147.507,0.896,V
2457740.85025,2016-12-18.3512972,bh,1.39,15.083,11.020,0.007,149.892,0.922,V
2457741.79466,2016-12-19.2956778,bg,1.56,15.010,11.097,0.008,139.721,1.053,V
2457741.79595,2016-12-19.2969633,bg,1.39,14.988,11.044,0.008,146.693,1.058,V
2457741.79724,2016-12-19.2982496,bg,1.48,14.975,11.037,0.008,147.601,1.034,V
2457742.73515,2016-12-20.2361280,bh,1.35,15.080,11.024,0.006,149.434,0.884,V
2457742.73645,2016-12-20.2374292,bh,1.38,15.096,11.060,0.006,144.522,0.875,V
2457742.73772,2016-12-20.2387053,bh,1.36,15.072,11.034,0.006,147.940,0.884,V
2457743.72392,2016-12-21.2248666,bg,1.38,15.000,11.043,0.008,146.878,1.023,V
2457743.72523,2016-12-21.2261774,bg,1.39,14.984,11.044,0.007,146.678,0.964,V
2457743.72652,2016-12-21.2274758,bg,1.36,15.009,11.037,0.008,147.631,1.077,V
2457744.72435,2016-12-22.2252677,bh,1.32,15.078,11.038,0.006,147.404,0.832,V
2457744.72565,2016-12-22.2265687,bh,1.36,15.086,11.031,0.006,148.377,0.857,V
2457744.72694,2016-12-22.2278568,bh,1.43,15.093,11.046,0.006,146.332,0.852,V
2457746.67939,2016-12-24.1802464,bg,1.52,99.990,99.990,99.990,99.990,99.990,V
2457746.68068,2016-12-24.1815318,bg,1.40,99.990,99.990,99.990,99.990,99.990,V
