#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	Width_T1	Sky/Pixel_T1	AIRMASS	EXPTIME
2459256.091680	0.999711	0.001000	8.447841	14.892337	1.228742	29.976000
2459256.093200	0.998938	0.001000	9.227846	14.414111	1.228402	29.980000
2459256.094723	0.998049	0.000996	9.088229	14.128195	1.228103	29.972000
2459256.096239	0.997484	0.000996	8.752990	14.341047	1.227853	29.976000
2459256.097758	0.998747	0.001000	8.714240	14.562355	1.227649	29.976000
2459256.099275	0.998026	0.001000	8.971570	14.725097	1.227492	29.976000
2459256.100793	0.998551	0.000996	8.565753	14.719779	1.227382	29.976000
2459256.102309	0.998129	0.000996	8.881358	13.882937	1.227318	29.972000
2459256.103831	0.997866	0.000996	9.072688	14.524161	1.227300	29.976000
2459256.105348	0.997929	0.001000	9.747643	14.876368	1.227329	29.980000
2459256.106872	0.999369	0.001000	9.068103	15.078965	1.227404	29.972000
2459256.108396	0.999027	0.001000	9.160453	14.537836	1.227525	29.976000
2459256.109924	0.999729	0.001000	9.172477	14.530569	1.227696	30.008000
2459256.111487	0.998373	0.001000	8.823130	14.733600	1.227918	29.888000
2459256.113012	0.998022	0.000996	8.546536	14.809121	1.228183	29.972000
2459256.114528	0.999142	0.001000	8.759314	14.860365	1.228492	29.972000
2459256.116080	0.999840	0.001000	8.828643	14.879263	1.228855	29.972000
2459256.117615	0.996706	0.000996	8.933480	15.157038	1.229263	29.980000
2459256.119138	0.997711	0.001000	9.050288	15.402997	1.229716	29.976000
2459256.120667	1.001543	0.001000	8.919397	14.727305	1.230218	29.976000
2459256.122198	0.997689	0.000996	8.355807	14.847752	1.230768	29.976000
2459256.123721	0.996484	0.000996	8.869610	14.558150	1.231362	29.976000
2459256.125244	0.998471	0.001000	9.832312	14.890230	1.232002	29.976000
2459256.126758	1.000650	0.001000	8.854739	15.091402	1.232690	29.980000
2459256.128282	1.001463	0.001000	8.787792	14.411985	1.233424	29.976000
2459256.129799	0.997946	0.001000	8.886912	14.806128	1.234205	30.000000
2459256.131323	0.997720	0.001000	8.929526	14.807587	1.235034	29.972000
2459256.132852	0.998609	0.001000	9.031743	14.587764	1.235921	29.976000
2459256.134381	0.999227	0.001000	8.495401	14.762517	1.236848	29.980000
2459256.135897	0.999511	0.001000	9.045955	14.545703	1.237819	29.980000
2459256.137417	1.000925	0.001000	8.759453	14.306390	1.238840	29.976000
2459256.138945	0.999774	0.001000	8.687392	14.671113	1.239914	29.975000
2459256.140480	0.998502	0.001000	9.280164	14.683634	1.241041	30.080000
2459256.141992	0.998733	0.001000	8.411458	14.562467	1.242203	29.976000
2459256.143506	1.000325	0.001005	8.927709	15.050704	1.243414	29.976000
2459256.145074	1.002343	0.001005	8.616069	14.607967	1.244717	29.972000
2459256.146595	1.000912	0.001005	8.862185	15.219813	1.246029	29.980000
2459256.148119	0.998818	0.001005	9.909843	14.956199	1.247397	29.980000
2459256.149641	0.999845	0.001005	9.682586	14.349293	1.248810	29.976000
2459256.151167	1.003059	0.001005	9.180134	14.825179	1.250274	29.980000
2459256.152690	0.999240	0.001005	9.406769	14.693498	1.251793	29.972000
2459256.154211	1.000707	0.001005	9.366620	15.131949	1.253351	29.980000
2459256.155737	1.002277	0.001005	8.905337	15.418933	1.254969	29.976000
2459256.157263	1.000107	0.001005	8.955947	14.431852	1.256639	29.968000
2459256.158788	0.999574	0.001005	9.184007	15.329305	1.258359	29.972000
2459256.160306	1.004580	0.001009	9.264301	15.061471	1.260120	29.976000
2459256.161822	0.999467	0.001005	9.173772	14.813932	1.261930	29.976000
2459256.163353	1.001556	0.001009	9.560822	14.952016	1.263807	29.980000
2459256.164874	1.001499	0.001009	9.631002	14.912536	1.265725	29.976000
2459256.166396	1.000632	0.001014	11.008985	15.020012	1.267697	29.976000
2459256.167924	1.002415	0.001027	12.268469	15.844282	1.269727	29.980000
2459256.169448	1.003290	0.001018	10.565014	15.501838	1.271812	29.972000
2459256.170967	1.000787	0.001018	10.736508	14.940233	1.273938	29.976000
2459256.172494	1.002397	0.001018	11.092880	15.517496	1.276124	29.976000
2459256.174019	1.003490	0.001018	11.007042	15.107234	1.278362	29.976000
2459256.175400	1.001797	0.002485	12.342097	3.344763	1.177838	6.840000
