#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	Width_T1	Sky/Pixel_T1	AIRMASS	EXPTIME
2459256.092441	0.998396	0.001084	8.434266	53.089497	1.228565	29.976000
2459256.093957	0.998054	0.001084	8.771624	53.123208	1.228247	29.980000
2459256.095478	1.000269	0.001084	8.676534	52.528717	1.227973	29.976000
2459256.096996	0.996811	0.001084	8.663735	52.225106	1.227744	29.972000
2459256.098508	0.999603	0.001084	8.654539	52.091215	1.227566	29.972000
2459256.100035	0.999950	0.001084	9.019236	50.911433	1.227433	29.972000
2459256.101552	0.999197	0.001084	8.543327	50.414407	1.227342	29.972000
2459256.103072	0.998543	0.001078	8.695330	50.196898	1.227303	29.980000
2459256.104584	0.998319	0.001084	8.821039	50.487621	1.227309	29.976000
2459256.106110	0.995392	0.001084	9.126807	51.155183	1.227362	29.976000
2459256.107636	0.998884	0.001084	9.050541	53.019717	1.227460	29.980000
2459256.109156	0.997930	0.001084	8.750966	55.085293	1.227603	29.976000
2459256.110681	0.998543	0.001084	9.524270	56.528709	1.227798	29.980000
2459256.112247	0.995780	0.001084	8.892872	56.920373	1.228045	29.976000
2459256.113768	0.998937	0.001084	8.409056	57.819507	1.228331	29.980000
2459256.115319	0.998937	0.001084	8.799905	58.099398	1.228672	29.976000
2459256.116848	0.998513	0.001084	8.893872	58.100698	1.229055	29.980000
2459256.118372	0.996293	0.001084	8.655868	57.929211	1.229482	29.976000
2459256.119892	1.000039	0.001084	8.758941	60.269706	1.229957	29.980000
2459256.121434	0.998855	0.001084	8.382260	58.898547	1.230487	29.980000
2459256.122963	1.000233	0.001084	8.430568	58.382904	1.231059	29.980000
2459256.124484	0.999609	0.001084	8.572137	56.616750	1.231678	29.976000
2459256.126006	1.000051	0.001084	8.595404	55.821185	1.232343	29.980000
2459256.127522	0.999915	0.001084	8.671172	54.645200	1.233052	29.980000
2459256.129042	0.999055	0.001084	8.947012	54.949967	1.233808	29.976000
2459256.130554	1.000310	0.001084	8.667919	54.009787	1.234610	29.980000
2459256.132090	1.001288	0.001084	9.236091	54.608843	1.235472	29.976000
2459256.133623	0.998725	0.001084	8.575858	52.643571	1.236382	29.972000
2459256.135141	0.998902	0.001084	9.387539	50.664978	1.237329	29.976000
2459256.136660	0.998254	0.001078	8.789832	48.075972	1.238324	29.976000
2459256.138177	0.999615	0.001078	8.735450	46.926702	1.239369	30.032000
2459256.139712	0.999609	0.001078	8.659963	47.576656	1.240474	29.976000
2459256.141239	1.000710	0.001084	8.996556	49.775879	1.241618	29.980000
2459256.142751	0.999220	0.001084	8.723108	52.781424	1.242804	29.976000
2459256.144310	0.996858	0.001084	8.731238	53.343424	1.244075	29.976000
2459256.145829	0.998820	0.001084	8.980478	52.188791	1.245364	29.976000
2459256.147357	1.000068	0.001084	8.943253	50.503212	1.246706	29.980000
2459256.148884	0.997259	0.001084	9.104914	51.315291	1.248100	29.976000
2459256.150406	0.998708	0.001084	9.415903	52.266059	1.249538	29.972000
2459256.151929	0.999992	0.001084	8.704068	53.144483	1.251031	29.980000
2459256.153451	0.998920	0.001084	8.688382	53.642914	1.252565	29.976000
2459256.154979	0.997412	0.001084	9.004891	53.347732	1.254160	29.980000
2459256.156504	0.998030	0.001084	8.733515	52.046790	1.255802	29.976000
2459256.158033	0.999426	0.001084	9.052859	50.315711	1.257503	29.976000
2459256.159546	0.998672	0.001084	9.465090	50.603129	1.259230	29.976000
2459256.161068	0.999939	0.001084	9.214598	47.964124	1.261022	29.972000
2459256.162584	0.997382	0.001084	9.638960	46.618288	1.262860	29.972000
2459256.164115	0.999750	0.001084	9.590401	47.454258	1.264760	29.976000
2459256.165631	1.001111	0.001084	9.366816	48.765246	1.266700	29.972000
2459256.167151	1.001912	0.001090	10.234552	50.249400	1.268695	29.980000
2459256.168684	1.001476	0.001096	10.490002	49.978012	1.270764	29.976000
2459256.170210	0.998926	0.001096	11.287169	50.145987	1.272868	29.976000
2459256.171737	1.006612	0.001096	10.819666	50.179270	1.275033	29.976000
2459256.173258	1.005116	0.001096	10.267277	52.179238	1.277245	29.976000
2459256.174772	1.001505	0.001096	10.772568	50.407487	1.279494	29.976000
