BJD,FLUX,ERRFLUX,AIRMASS,SKY
   9338.134502, 1.000577, 0.001172, 1.077,  250.
   9338.135597, 1.001272, 0.001171, 1.077,  249.
   9338.136694, 1.000487, 0.001170, 1.078,  250.
   9338.137789, 0.999173, 0.001168, 1.079,  251.
   9338.138886, 1.001323, 0.001169, 1.080,  251.
   9338.139983, 0.999389, 0.001169, 1.080,  252.
   9338.141080, 1.001264, 0.001171, 1.081,  253.
   9338.142175, 0.997099, 0.001175, 1.082,  254.
   9338.143271, 0.999655, 0.001175, 1.083,  254.
   9338.144367, 0.999916, 0.001173, 1.083,  256.
   9338.145464, 0.999933, 0.001173, 1.084,  255.
   9338.146558, 0.999951, 0.001171, 1.085,  255.
   9338.147653, 0.999614, 0.001172, 1.086,  256.
   9338.148748, 0.999401, 0.001172, 1.086,  257.
   9338.149844, 1.000036, 0.001173, 1.087,  257.
   9338.150939, 1.001621, 0.001175, 1.088,  257.
   9338.152038, 0.999681, 0.001172, 1.089,  259.
   9338.153133, 0.999097, 0.001173, 1.090,  263.
   9338.154230, 1.002314, 0.001176, 1.090,  267.
   9338.155325, 1.002176, 0.001177, 1.091,  269.
   9338.156421, 1.001165, 0.001176, 1.092,  272.
   9338.157517, 1.000152, 0.001175, 1.093,  272.
   9338.158613, 1.000985, 0.001173, 1.094,  269.
   9338.159709, 1.002100, 0.001172, 1.094,  268.
   9338.160804, 0.999631, 0.001172, 1.095,  269.
   9338.161899, 1.000589, 0.001172, 1.096,  267.
   9338.162994, 1.002673, 0.001171, 1.097,  268.
   9338.164089, 0.999826, 0.001170, 1.098,  270.
   9338.165186, 1.000593, 0.001170, 1.098,  268.
   9338.166280, 1.001597, 0.001169, 1.099,  266.
   9338.167377, 1.000950, 0.001170, 1.100,  265.
   9338.168471, 0.999692, 0.001172, 1.101,  266.
   9338.169567, 1.002009, 0.001169, 1.102,  266.
   9338.170665, 0.998521, 0.001162, 1.102,  270.
   9338.171759, 0.999949, 0.001162, 1.103,  270.
   9338.172855, 0.998556, 0.001161, 1.104,  267.
   9338.173956, 1.000174, 0.001162, 1.105,  266.
   9338.175053, 0.998703, 0.001163, 1.106,  265.
   9338.176149, 0.998716, 0.001162, 1.107,  266.
   9338.177245, 0.998572, 0.001161, 1.108,  264.
   9338.178341, 0.996433, 0.001159, 1.108,  261.
   9338.179437, 0.998906, 0.001160, 1.109,  263.
   9338.180532, 0.999007, 0.001164, 1.110,  261.
   9338.181628, 0.998118, 0.001163, 1.111,  259.
   9338.182725, 0.997385, 0.001161, 1.112,  261.
   9338.183819, 0.995003, 0.001160, 1.113,  259.
   9338.184916, 0.998160, 0.001167, 1.113,  262.
   9338.186011, 0.997756, 0.001163, 1.114,  264.
   9338.187106, 0.996566, 0.001160, 1.115,  264.
   9338.188201, 0.996062, 0.001158, 1.116,  266.
   9338.189301, 0.995741, 0.001157, 1.117,  270.
   9338.190395, 0.996104, 0.001157, 1.118,  275.
   9338.192590, 0.998499, 0.001160, 1.119,  270.
   9338.193688, 0.995851, 0.001161, 1.120,  269.
   9338.194782, 0.995722, 0.001161, 1.121,  270.
   9338.195878, 0.996174, 0.001158, 1.122,  271.
   9338.196973, 0.995302, 0.001167, 1.123,  271.
   9338.198070, 0.995483, 0.001158, 1.124,  271.
   9338.199165, 0.996869, 0.001160, 1.125,  272.
   9338.200260, 0.995965, 0.001158, 1.126,  274.
   9338.201358, 0.995994, 0.001160, 1.126,  274.
   9338.202453, 0.998620, 0.001157, 1.127,  270.
   9338.203548, 0.996346, 0.001156, 1.128,  269.
   9338.204643, 0.997526, 0.001159, 1.129,  272.
   9338.205742, 0.996397, 0.001160, 1.130,  272.
   9338.206839, 0.995474, 0.001158, 1.131,  273.
   9338.207933, 0.995156, 0.001156, 1.132,  274.
   9338.209031, 0.997257, 0.001158, 1.133,  276.
   9338.210128, 0.996753, 0.001157, 1.133,  278.
   9338.212317, 0.996099, 0.001160, 1.135,  285.
   9338.213412, 0.995355, 0.001161, 1.136,  288.
   9338.214506, 0.996031, 0.001160, 1.137,  290.
   9338.215601, 0.997674, 0.001157, 1.138,  292.
   9338.216695, 0.999054, 0.001158, 1.139,  293.
   9338.217789, 0.996931, 0.001157, 1.140,  292.
   9338.218885, 0.997150, 0.001157, 1.141,  294.
   9338.219981, 0.996357, 0.001161, 1.141,  298.
   9338.221078, 0.996250, 0.001160, 1.142,  297.
   9338.222172, 0.996585, 0.001157, 1.143,  301.
   9338.223266, 0.994044, 0.001155, 1.144,  306.
   9338.224362, 0.994903, 0.001151, 1.145,  305.
   9338.225456, 0.996284, 0.001152, 1.146,  304.
   9338.226553, 0.996896, 0.001151, 1.147,  304.
   9338.227647, 0.995124, 0.001150, 1.148,  304.
   9338.228741, 0.996131, 0.001152, 1.149,  303.
   9338.229835, 0.994448, 0.001152, 1.149,  301.
   9338.230931, 0.996396, 0.001153, 1.150,  299.
   9338.232025, 0.996915, 0.001152, 1.151,  296.
   9338.233119, 0.997010, 0.001151, 1.152,  297.
   9338.234213, 0.995936, 0.001151, 1.153,  296.
   9338.235307, 0.996523, 0.001151, 1.154,  295.
   9338.236403, 0.996286, 0.001151, 1.155,  293.
   9338.237499, 0.995379, 0.001149, 1.156,  292.
   9338.238593, 0.995989, 0.001150, 1.157,  293.
   9338.239689, 0.995942, 0.001151, 1.158,  292.
   9338.240782, 0.995972, 0.001152, 1.158,  291.
   9338.241878, 0.995532, 0.001151, 1.159,  291.
   9338.242977, 0.994085, 0.001153, 1.160,  292.
   9338.244072, 0.996346, 0.001154, 1.161,  292.
   9338.245165, 0.994669, 0.001154, 1.162,  296.
   9338.246262, 0.997550, 0.001161, 1.163,  304.
   9338.247355, 0.994791, 0.001154, 1.164,  303.
   9338.249544, 0.996087, 0.001151, 1.166,  303.
   9338.250639, 0.993879, 0.001148, 1.166,  302.
   9338.251736, 0.995416, 0.001147, 1.167,  299.
   9338.252830, 0.995746, 0.001147, 1.168,  295.
   9338.253924, 0.995749, 0.001145, 1.169,  297.
   9338.255019, 0.994933, 0.001145, 1.170,  300.
   9338.256113, 0.995693, 0.001144, 1.171,  301.
   9338.257210, 0.996870, 0.001145, 1.172,  300.
   9338.258304, 0.996239, 0.001145, 1.173,  303.
   9338.259400, 0.995233, 0.001145, 1.174,  307.
   9338.260493, 0.993672, 0.001142, 1.174,  308.
   9338.261588, 0.994651, 0.001144, 1.175,  306.
   9338.262684, 0.995944, 0.001145, 1.176,  304.
   9338.263779, 0.994900, 0.001143, 1.177,  304.
   9338.264875, 0.995759, 0.001144, 1.178,  307.
   9338.265971, 0.997421, 0.001144, 1.179,  306.
   9338.267071, 0.995522, 0.001142, 1.180,  306.
   9338.268165, 0.995544, 0.001142, 1.181,  308.
   9338.269259, 0.995434, 0.001142, 1.181,  306.
   9338.270354, 0.996547, 0.001143, 1.182,  304.
   9338.271448, 0.996576, 0.001142, 1.183,  304.
   9338.272544, 0.995749, 0.001143, 1.184,  308.
   9338.273638, 0.997378, 0.001146, 1.185,  311.
   9338.274731, 0.995522, 0.001142, 1.186,  312.
   9338.275826, 0.995684, 0.001142, 1.187,  311.
   9338.276921, 0.994855, 0.001143, 1.187,  313.
   9338.278015, 0.995341, 0.001141, 1.188,  315.
   9338.279113, 0.997805, 0.001143, 1.189,  317.
   9338.280211, 0.995348, 0.001142, 1.190,  320.
   9338.281307, 0.996266, 0.001143, 1.191,  324.
   9338.282402, 0.997055, 0.001141, 1.192,  324.
   9338.283497, 0.995318, 0.001140, 1.192,  322.
   9338.284591, 0.996639, 0.001141, 1.193,  322.
   9338.285689, 0.996550, 0.001147, 1.194,  320.
   9338.286786, 0.997630, 0.001145, 1.195,  318.
   9338.287881, 0.995502, 0.001141, 1.196,  319.
   9338.288975, 0.996650, 0.001142, 1.197,  319.
   9338.290070, 0.997804, 0.001140, 1.198,  316.
   9338.291164, 0.995111, 0.001137, 1.198,  315.
   9338.292261, 0.996136, 0.001139, 1.199,  314.
   9338.293358, 0.997134, 0.001139, 1.200,  308.
   9338.294454, 0.999070, 0.001140, 1.201,  305.
   9338.295548, 0.995619, 0.001140, 1.202,  307.
   9338.296642, 0.996137, 0.001139, 1.202,  306.
   9338.297736, 0.996901, 0.001138, 1.203,  304.
   9338.298831, 0.996705, 0.001138, 1.204,  307.
   9338.299926, 0.995955, 0.001137, 1.205,  309.
   9338.301026, 0.997426, 0.001139, 1.206,  307.
   9338.302121, 0.997543, 0.001140, 1.206,  305.
   9338.303220, 0.996454, 0.001141, 1.207,  303.
   9338.304314, 0.996648, 0.001141, 1.208,  305.
   9338.305408, 0.998064, 0.001140, 1.209,  306.
   9338.306502, 0.999234, 0.001140, 1.210,  304.
   9338.307598, 0.998160, 0.001142, 1.210,  304.
   9338.308692, 0.998071, 0.001140, 1.211,  307.
   9338.309787, 0.997688, 0.001139, 1.212,  306.
   9338.310882, 0.997348, 0.001141, 1.213,  300.
   9338.311978, 0.998979, 0.001142, 1.213,  297.
   9338.313072, 0.999881, 0.001141, 1.214,  296.
   9338.314167, 1.000322, 0.001141, 1.215,  293.
   9338.315262, 0.997906, 0.001139, 1.216,  292.
   9338.316361, 0.999301, 0.001141, 1.216,  293.
   9338.317456, 0.999311, 0.001142, 1.217,  295.
   9338.318551, 1.000277, 0.001146, 1.218,  298.
   9338.321835, 1.000725, 0.001155, 1.220,  310.
   9338.322929, 0.998282, 0.001147, 1.221,  313.
   9338.324024, 1.000064, 0.001144, 1.222,  309.
   9338.325120, 1.002658, 0.001242, 1.222,  307.
   9338.328515, 0.999276, 0.001139, 1.223,  310.
   9338.334253, 0.999657, 0.001139, 1.228,  306.
   9338.335352, 0.999911, 0.001141, 1.229,  305.
   9338.336453, 1.000974, 0.001141, 1.229,  300.
   9338.337549, 0.998634, 0.001139, 1.230,  298.
   9338.338646, 1.000659, 0.001142, 1.231,  299.
   9338.339741, 0.996663, 0.001150, 1.232,  299.
   9338.340839, 0.998430, 0.001142, 1.232,  295.
   9338.341933, 1.002311, 0.001145, 1.233,  296.
   9338.343030, 1.001707, 0.001144, 1.233,  297.
   9338.344126, 1.001106, 0.001144, 1.234,  296.
   9338.345223, 0.997937, 0.001143, 1.235,  293.
   9338.346320, 1.001262, 0.001143, 1.235,  289.
   9338.347416, 1.002881, 0.001146, 1.236,  288.
   9338.348514, 1.000958, 0.001140, 1.237,  288.
   9338.349611, 1.001979, 0.001140, 1.237,  287.
   9338.350707, 1.000324, 0.001138, 1.238,  284.
   9338.351802, 0.999950, 0.001137, 1.239,  283.
   9338.352898, 0.999506, 0.001137, 1.239,  282.
   9338.353996, 1.000460, 0.001137, 1.240,  279.
   9338.355092, 1.000267, 0.001136, 1.240,  277.
   9338.356191, 1.000226, 0.001137, 1.241,  276.
   9338.358384, 0.999950, 0.001138, 1.242,  281.
   9338.359481, 0.999725, 0.001136, 1.243,  280.
   9338.360770, 1.000208, 0.001138, 1.243,  279.
   9338.361868, 1.000356, 0.001152, 1.244,  278.
   9338.362969, 1.000181, 0.001137, 1.244,  278.
   9338.364067, 1.000737, 0.001136, 1.245,  278.
   9338.365168, 1.000159, 0.001135, 1.245,  278.
   9338.366265, 0.999946, 0.001135, 1.246,  277.
   9338.367364, 0.998771, 0.001136, 1.246,  275.
   9338.368460, 1.000655, 0.001138, 1.247,  276.
   9338.369557, 1.000265, 0.001139, 1.247,  277.
   9338.370652, 1.000251, 0.001137, 1.248,  277.
   9338.371748, 1.001282, 0.001136, 1.248,  278.
   9338.372844, 1.000097, 0.001135, 1.249,  279.
   9338.373939, 1.001448, 0.001135, 1.249,  279.
   9338.375037, 0.999835, 0.001135, 1.250,  279.
   9338.376133, 0.997948, 0.001136, 1.250,  277.
   9338.377229, 0.997569, 0.001136, 1.251,  276.
   9338.378324, 1.000095, 0.001140, 1.251,  277.
   9338.379420, 0.998763, 0.001139, 1.252,  277.
   9338.380515, 0.998570, 0.001136, 1.252,  274.
   9338.381611, 0.999488, 0.001133, 1.253,  273.
   9338.382707, 0.999021, 0.001133, 1.253,  273.
   9338.383804, 0.999181, 0.001135, 1.253,  273.
   9338.384901, 0.998665, 0.001135, 1.254,  274.
   9338.385998, 1.000751, 0.001137, 1.254,  274.
   9338.387099, 1.000083, 0.001138, 1.255,  275.
   9338.388198, 0.999971, 0.001144, 1.255,  276.
   9338.389294, 1.000968, 0.001145, 1.255,  276.
   9338.390390, 0.998809, 0.001144, 1.256,  276.
   9338.391486, 1.000528, 0.001144, 1.256,  276.
   9338.392585, 1.000451, 0.001142, 1.257,  274.
   9338.393681, 1.000401, 0.001137, 1.257,  272.
   9338.394775, 0.998256, 0.001137, 1.257,  274.
   9338.395870, 1.000541, 0.001140, 1.258,  275.
   9338.396965, 1.000807, 0.001144, 1.258,  275.
   9338.398060, 1.001401, 0.001143, 1.258,  272.
   9338.399155, 1.000502, 0.001143, 1.259,  274.
   9338.400250, 0.999297, 0.001144, 1.259,  276.
   9338.401345, 0.998696, 0.001141, 1.259,  275.
   9338.402441, 0.999517, 0.001140, 1.260,  275.
   9338.403537, 1.000391, 0.001141, 1.260,  275.
   9338.404633, 1.000701, 0.001144, 1.260,  276.
   9338.405727, 1.000006, 0.001135, 1.260,  277.
   9338.406821, 1.000833, 0.001137, 1.261,  284.
   9338.407916, 0.997996, 0.001134, 1.261,  284.
   9338.409011, 1.001065, 0.001134, 1.261,  284.
   9338.410106, 1.000094, 0.001133, 1.262,  279.
   9338.411201, 0.997723, 0.001133, 1.262,  282.
   9338.412295, 1.001590, 0.001134, 1.262,  283.
   9338.413391, 1.000448, 0.001134, 1.262,  286.
   9338.414485, 1.000783, 0.001137, 1.262,  289.
   9338.415581, 1.000686, 0.001137, 1.263,  290.
   9338.416675, 0.999415, 0.001135, 1.263,  291.
   9338.417775, 0.999361, 0.001140, 1.263,  291.
   9338.418869, 0.998383, 0.001138, 1.263,  291.
   9338.419964, 1.001437, 0.001142, 1.264,  294.
   9338.421058, 0.997705, 0.001144, 1.264,  298.
   9338.422153, 0.998367, 0.001141, 1.264,  299.
   9338.423247, 0.998656, 0.001136, 1.264,  294.
   9338.424342, 1.002107, 0.001138, 1.264,  292.
   9338.425436, 1.000361, 0.001135, 1.264,  294.
   9338.427626, 0.998208, 0.001133, 1.265,  303.
   9338.428720, 0.999650, 0.001134, 1.265,  308.
   9338.429814, 0.999546, 0.001135, 1.265,  312.
   9338.430911, 0.998962, 0.001136, 1.265,  319.
   9338.432005, 1.002268, 0.001138, 1.265,  325.
   9338.433101, 0.999092, 0.001138, 1.265,  332.
   9338.434195, 1.001967, 0.001140, 1.265,  340.
   9338.435290, 1.001347, 0.001144, 1.265,  347.
   9338.436384, 1.000560, 0.001141, 1.266,  349.
   9338.437479, 1.000647, 0.001143, 1.266,  352.
   9338.438573, 1.000230, 0.001145, 1.266,  361.
   9338.439668, 0.999678, 0.001141, 1.266,  363.
   9338.440762, 1.000426, 0.001143, 1.266,  372.
   9338.441857, 1.001152, 0.001147, 1.266,  385.
   9338.442951, 1.000934, 0.001139, 1.266,  392.
   9338.444046, 1.000274, 0.001134, 1.266,  401.
   9338.445144, 1.000878, 0.001133, 1.266,  415.
   9338.446242, 1.000076, 0.001131, 1.266,  427.
   9338.447337, 0.999807, 0.001131, 1.266,  442.
   9338.448431, 1.000870, 0.001134, 1.266,  459.
   9338.449527, 1.000956, 0.001132, 1.266,  474.
   9338.450622, 1.001249, 0.001134, 1.266,  493.
   9338.451718, 1.001184, 0.001137, 1.266,  517.
   9338.452814, 1.000345, 0.001137, 1.266,  540.
   9338.453908, 0.998806, 0.001141, 1.266,  570.
   9338.455003, 1.000361, 0.001144, 1.266,  603.
   9338.456097, 1.001202, 0.001137, 1.266,  626.
   9338.457192, 1.001167, 0.001136, 1.266,  655.
   9338.458285, 1.000536, 0.001131, 1.265,  690.
   9338.459382, 1.000024, 0.001130, 1.265,  730.
   9338.460477, 1.000765, 0.001131, 1.265,  777.
   9338.461571, 1.000810, 0.001131, 1.265,  826.
   9338.462667, 1.000635, 0.001129, 1.265,  878.
   9338.463762, 1.001660, 0.001130, 1.265,  938.
   9338.464857, 1.000382, 0.001129, 1.265, 1002.
   9338.467046, 0.999186, 0.001127, 1.265, 1154.
   9338.468140, 0.999446, 0.001127, 1.264, 1240.
   9338.469235, 1.001282, 0.001128, 1.264, 1337.
   9338.470330, 1.001099, 0.001127, 1.264, 1444.
   9338.471430, 1.001270, 0.001128, 1.264, 1565.
   9338.472527, 1.000550, 0.001128, 1.264, 1692.
   9338.473623, 1.001669, 0.001129, 1.264, 1835.
   9338.474717, 1.001565, 0.001131, 1.263, 1994.
   9338.478002, 1.000647, 0.001129, 1.263, 2578.
   9338.479098, 0.999918, 0.001131, 1.263, 2814.
   9338.481287, 1.001815, 0.001128, 1.262, 3366.
   9338.484573, 1.003878, 0.001130, 1.261, 4409.
   9338.485670, 1.000213, 0.001127, 1.261, 4828.
   9338.486767, 1.001451, 0.001128, 1.261, 5292.
   9338.487861, 1.000959, 0.001124, 1.261, 5797.
   9338.490053, 1.000759, 0.001131, 1.260, 6971.
   9338.491148, 0.999105, 0.001129, 1.260, 7646.
   9338.492243, 1.000047, 0.001124, 1.259, 8388.
   9338.493340, 1.001012, 0.001126, 1.259, 9222.
   9338.494434, 1.001345, 0.001127, 1.259,10137.
   9338.495531, 0.999057, 0.001126, 1.258,11156.
   9338.496625, 0.999201, 0.001126, 1.258,12273.
   9338.497721, 0.999241, 0.001125, 1.258,13512.
   9338.498816, 1.000521, 0.001132, 1.257,14904.
   9338.499910, 1.005923, 0.001144, 1.257,16409.
